Team,Date,Player_Name,Notes,Season,player_height,player_weight,age
Celtics,2019-03-22,Al Horford,sore left knee,2019,205.74,108.86208,34.0
Celtics,2019-03-30,Al Horford,placed on IL with sore left knee,2019,205.74,108.86208,34.0
Celtics,2019-04-08,Al Horford,sore left knee,2019,205.74,108.86208,34.0
76ers,2019-12-12,Al Horford,sore left knee,2019,205.74,108.86208,34.0
76ers,2020-01-30,Al Horford,placed on IL with sore left knee,2020,205.74,108.86208,35.0
76ers,2020-08-11,Al Horford,sore left knee,2020,205.74,108.86208,35.0
Jazz,2011-12-30,Al Jefferson,sprained right ankle,2011,208.28,131.088088,27.0
Jazz,2012-01-25,Al Jefferson,right ankle inflammation,2012,208.28,131.088088,28.0
Jazz,2012-12-07,Al Jefferson,back spasms,2012,208.28,131.088088,28.0
Jazz,2013-03-01,Al Jefferson,sprained left ankle,2013,208.28,131.088088,29.0
Bobcats,2013-11-01,Al Jefferson,placed on IL with sprained right ankle,2013,208.28,131.088088,29.0
Bobcats,2013-11-15,Al Jefferson,placed on IL with ankle injury,2013,208.28,131.088088,29.0
Bobcats,2014-04-28,Al Jefferson,strained plantar fascia in left foot,2014,208.28,131.088088,30.0
Hornets,2014-12-31,Al Jefferson,strained adductor muscle in left groin,2014,208.28,131.088088,30.0
Hornets,2015-03-13,Al Jefferson,placed on IL with strained right knee / right calf injury,2015,208.28,131.088088,31.0
Hornets,2015-04-04,Al Jefferson,sore right knee,2015,208.28,131.088088,31.0
Hornets,2015-11-30,Al Jefferson,strained left calf,2015,208.28,131.088088,31.0
Hornets,2015-12-30,Al Jefferson,torn lateral meniscus in right knee,2015,208.28,131.088088,31.0
Hornets,2016-04-03,Al Jefferson,placed on IL with bruised right quadriceps,2016,208.28,131.088088,32.0
Pacers,2017-02-24,Al Jefferson,placed on IL with dental ailment,2017,208.28,127.00576,33.0
Pacers,2017-03-27,Al Jefferson,sprained left ankle,2017,208.28,127.00576,33.0
Pacers,2017-04-08,Al Jefferson,sprained left ankle,2017,208.28,127.00576,33.0
Wizards,2010-11-25,Al Thornton,placed on IL with sprained left ankle,2010,203.2,106.59412,27.0
Mavericks,2015-03-13,Al-Farouq Aminu,placed on IL with bruised/sprained left shoulder,2015,205.74,97.52228,25.0
Blazers,2016-11-09,Al-Farouq Aminu,placed on IL with sore calf,2016,205.74,99.79024,26.0
Blazers,2016-12-10,Al-Farouq Aminu,back injury,2016,205.74,99.79024,26.0
Blazers,2017-02-14,Al-Farouq Aminu,sprained left knee,2017,205.74,99.79024,27.0
Blazers,2017-04-12,Al-Farouq Aminu,rest,2017,205.74,99.79024,27.0
Blazers,2017-11-02,Al-Farouq Aminu,placed on IL with sprained right ankle,2017,205.74,99.79024,27.0
Magic,2019-12-01,Al-Farouq Aminu,placed on IL with right knee injury,2019,203.2,99.79024,29.0
Magic,2020-01-08,Al-Farouq Aminu,surgery on right knee,2020,203.2,99.79024,30.0
Raptors,2012-11-12,Alan Anderson,placed on IL with partially torn plantar fascia in left foot,2012,198.12,99.79024,30.0
Nets,2014-04-11,Alan Anderson,sore abdominal muscle,2014,198.12,99.79024,32.0
Nets,2015-03-11,Alan Anderson,bruised lower back,2015,198.12,99.79024,33.0
Nets,2015-04-04,Alan Anderson,sprained left ankle,2015,198.12,99.79024,33.0
Wizards,2015-10-13,Alan Anderson,surgery on left ankle to remove bone fragment,2015,198.12,99.79024,33.0
Wizards,2015-10-28,Alan Anderson,placed on IL recovering from surgery on left ankle to remove bone fragment,2015,198.12,99.79024,33.0
Wizards,2016-03-12,Alan Anderson,placed on IL with ankle injury,2016,198.12,99.79024,34.0
Wizards,2016-03-27,Alan Anderson,sore groin,2016,198.12,99.79024,34.0
Clippers,2016-10-15,Alan Anderson,ankle injury,2016,198.12,99.79024,34.0
Suns,2017-03-21,Alan Williams,gastroenteritis,2017,203.2,120.20188,25.0
Suns,2017-09-25,Alan Williams,surgery on right knee to repair torn meniscus,2017,203.2,120.20188,25.0
Suns,2017-10-18,Alan Williams,placed on IL recovering from surgery on right knee to repair torn meniscus,2017,203.2,120.20188,25.0
Suns,2018-04-05,Alan Williams,sore right knee,2018,203.2,120.20188,26.0
Nets,2018-10-17,Alan Williams,ankle injury,2018,203.2,120.20188,26.0
Jazz,2013-04-07,Alec Burks,sprained left ankle,2013,198.12,95.707912,22.0
Jazz,2014-03-22,Alec Burks,placed on IL with right ankle injury,2014,198.12,95.707912,23.0
Jazz,2014-12-03,Alec Burks,left shoulder injury,2014,198.12,95.707912,23.0
Jazz,2014-12-27,Alec Burks,placed on IL with left shoulder injury,2014,198.12,95.707912,23.0
Jazz,2015-12-27,Alec Burks,fractured fibula in left leg,2015,198.12,97.068688,24.0
Jazz,2016-04-13,Alec Burks,sore right knee,2016,198.12,97.068688,25.0
Jazz,2016-06-08,Alec Burks,arthroscopic surgery on left knee and ankle to remove loose bodies,2016,198.12,97.068688,25.0
Jazz,2016-10-24,Alec Burks,sore leg,2016,198.12,97.068688,25.0
Jazz,2016-11-01,Alec Burks,arthrosopic surgery on left ankle,2016,198.12,97.068688,25.0
Jazz,2017-04-18,Alec Burks,placed on IL with sore left knee,2017,198.12,97.068688,26.0
Jazz,2018-10-31,Alec Burks,left hand injury,2018,198.12,97.068688,27.0
Warriors,2019-10-24,Alec Burks,placed on IL with sprained right ankle,2019,198.12,97.068688,28.0
76ers,2020-08-12,Alec Burks,placed on IL with sore left foot,2020,198.12,97.068688,29.0
Warriors,2019-10-24,Alen Smailagic,sprained right ankle,2019,208.28,97.52228,19.0
Warriors,2020-03-01,Alen Smailagic,bruised right quadriceps,2020,208.28,97.52228,20.0
Thunder,2016-10-16,Alex Abrines,bruised right hip,2016,198.12,86.18248,23.0
Thunder,2017-02-01,Alex Abrines,placed on IL with back spasms,2017,198.12,86.18248,24.0
Thunder,2017-04-05,Alex Abrines,placed on IL with sprained knee,2017,198.12,86.18248,24.0
Thunder,2018-01-03,Alex Abrines,placed on IL with strained right groin,2018,198.12,90.7184,25.0
Thunder,2018-04-10,Alex Abrines,concussion,2018,198.12,90.7184,25.0
Lakers,2018-10-18,Alex Caruso,strained right hip,2018,195.58,84.368112,25.0
Lakers,2019-11-23,Alex Caruso,strained right calf,2019,195.58,84.368112,26.0
Lakers,2020-01-03,Alex Caruso,placed on IL with right calf injury,2020,193.04,84.368112,27.0
Lakers,2020-03-01,Alex Caruso,right hamstring injury,2020,193.04,84.368112,27.0
Lakers,2020-08-06,Alex Caruso,placed on IL with neck spasms,2020,193.04,84.368112,27.0
Lakers,2020-08-12,Alex Caruso,placed on IL with neck spasms,2020,193.04,84.368112,27.0
Cavaliers,2014-11-14,Alex Kirk,placed on IL,2014,213.36,111.13004,23.0
Suns,2013-07-12,Alex Len,surgery on left / right,2013,215.9,115.66596,21.0
Suns,2013-11-03,Alex Len,left ankle injury,2013,215.9,115.66596,21.0
Suns,2013-11-29,Alex Len,sore left ankle,2013,215.9,115.66596,21.0
Suns,2014-10-07,Alex Len,fractured right pinky finger,2014,215.9,115.66596,22.0
Suns,2015-02-06,Alex Len,sprained right ankle,2015,215.9,117.93392,23.0
Suns,2015-03-07,Alex Len,sprained right ankle,2015,215.9,117.93392,23.0
Suns,2015-03-14,Alex Len,sprained right ankle,2015,215.9,117.93392,23.0
Suns,2015-04-02,Alex Len,fractured nose,2015,215.9,117.93392,23.0
Suns,2016-01-12,Alex Len,sprained left hand,2016,215.9,117.93392,24.0
Suns,2016-02-19,Alex Len,sprained right ankle,2016,215.9,117.93392,24.0
Suns,2016-12-12,Alex Len,bruised right hip,2016,215.9,117.93392,24.0
Suns,2017-03-11,Alex Len,hip injury,2017,215.9,113.398,25.0
Suns,2017-10-18,Alex Len,placed on IL with sprained left ankle,2017,215.9,113.398,25.0
Suns,2017-12-02,Alex Len,ankle injury,2017,215.9,113.398,25.0
Suns,2018-01-24,Alex Len,sore right ankle,2018,215.9,113.398,26.0
Suns,2018-03-28,Alex Len,sprained left ankle,2018,215.9,113.398,26.0
Hawks,2018-11-21,Alex Len,sore back,2018,215.9,113.398,26.0
Hawks,2018-12-26,Alex Len,strained back,2018,215.9,113.398,26.0
Hawks,2019-12-27,Alex Len,placed on IL with sprained left ankle,2019,213.36,113.398,27.0
Hawks,2020-01-14,Alex Len,placed on IL with sore lower back,2020,213.36,113.398,28.0
Hawks,2020-01-25,Alex Len,right hip flexor injury,2020,213.36,113.398,28.0
Kings,2020-07-30,Alex Len,placed on IL with conditioning,2020,213.36,113.398,28.0
Pacers,2018-04-22,Alex Poythress,placed on IL,2018,205.74,106.59412,25.0
Hawks,2018-10-26,Alex Poythress,left knee injury,2018,205.74,106.59412,25.0
Hawks,2018-11-19,Alex Poythress,placed on IL with left ankle injury,2018,205.74,106.59412,25.0
Timberwolves,2013-01-19,Alexey Shved,sprained left ankle,2013,198.12,84.821704,25.0
76ers,2014-11-13,Alexey Shved,sore lower back,2014,198.12,84.821704,26.0
76ers,2014-12-03,Alexey Shved,strained left hip flexor,2014,198.12,84.821704,26.0
Rockets,2014-12-27,Alexey Shved,sprained left ankle,2014,198.12,84.821704,26.0
Raptors,2018-01-11,Alfonzo McKinnie,placed on IL with swollen right knee,2018,203.2,97.52228,26.0
Warriors,2018-11-17,Alfonzo McKinnie,sore left foot,2018,203.2,97.52228,26.0
Cavaliers,2020-02-20,Alfonzo McKinnie,left foot injury,2020,200.66,97.52228,28.0
Pacers,2019-02-25,Alize Johnson,bruised left foot,2019,200.66,96.161504,24.0
Pacers,2019-04-01,Alize Johnson,sore left foot,2019,200.66,96.161504,24.0
Blazers,2014-04-20,Allen Crabbe,placed on IL,2014,198.12,95.25431999999999,23.0
Blazers,2015-01-10,Allen Crabbe,strained left knee,2015,198.12,95.25431999999999,24.0
Blazers,2017-04-08,Allen Crabbe,sore left foot,2017,198.12,97.52228,26.0
Nets,2017-11-26,Allen Crabbe,sore lower back,2017,198.12,97.52228,26.0
Nets,2017-12-15,Allen Crabbe,sore left ankle / knee,2017,198.12,97.52228,26.0
Nets,2018-10-16,Allen Crabbe,sprained left ankle,2018,198.12,96.161504,27.0
Nets,2018-12-14,Allen Crabbe,placed on IL with sore right knee,2018,198.12,96.161504,27.0
Nets,2019-03-15,Allen Crabbe,sore right knee,2019,195.58,96.161504,28.0
Nets,2019-04-04,Allen Crabbe,surgery on right knee,2019,195.58,96.161504,28.0
Hawks,2019-10-23,Allen Crabbe,right knee injury,2019,195.58,96.161504,28.0
Hawks,2019-12-03,Allen Crabbe,placed on IL with right knee injury,2019,195.58,96.161504,28.0
Knicks,2018-12-09,Allonzo Trier,strained left hamstring,2018,195.58,90.7184,23.0
Knicks,2019-03-20,Allonzo Trier,placed on IL with strained left calf,2019,193.04,90.7184,24.0
Knicks,2019-12-13,Allonzo Trier,placed on IL with concussion,2019,193.04,90.7184,24.0
Cavaliers,2012-04-17,Alonzo Gee,sprained left ankle,2012,198.12,99.336648,26.0
Blazers,2015-03-13,Alonzo Gee,oral surgery,2015,198.12,102.0582,29.0
Pelicans,2016-03-29,Alonzo Gee,torn right quadricep,2016,198.12,102.0582,30.0
Knicks,2011-02-12,Amar'e Stoudemire,placed on IL with sprained right big toe,2011,210.82,117.93392,29.0
Knicks,2011-04-08,Amar'e Stoudemire,placed on IL with sprained ankle,2011,210.82,117.93392,29.0
Knicks,2011-12-31,Amar'e Stoudemire,sprained left ankle,2011,210.82,117.93392,29.0
Knicks,2012-03-26,Amar'e Stoudemire,placed on IL with bulging disc in lower back,2012,210.82,111.13004,30.0
Knicks,2012-04-30,Amar'e Stoudemire,left hand injury,2012,210.82,111.13004,30.0
Knicks,2012-10-21,Amar'e Stoudemire,ruptured cyst in left knee,2012,210.82,111.13004,30.0
Knicks,2012-10-30,Amar'e Stoudemire,arthroscopic surgery on left knee,2012,210.82,111.13004,30.0
Knicks,2013-03-09,Amar'e Stoudemire,placed on IL with knee injury,2013,210.82,111.13004,31.0
Knicks,2013-10-30,Amar'e Stoudemire,knee injury,2013,210.82,111.13004,31.0
Knicks,2013-12-06,Amar'e Stoudemire,resting knee injury,2013,210.82,111.13004,31.0
Knicks,2013-12-18,Amar'e Stoudemire,placed on IL with sore right knee,2013,210.82,111.13004,31.0
Knicks,2014-01-17,Amar'e Stoudemire,sprained left ankle,2014,208.28,111.13004,32.0
Knicks,2014-02-19,Amar'e Stoudemire,sore left knee,2014,208.28,111.13004,32.0
Knicks,2014-02-28,Amar'e Stoudemire,sore left knee,2014,208.28,111.13004,32.0
Knicks,2014-03-12,Amar'e Stoudemire,rest,2014,208.28,111.13004,32.0
Knicks,2014-03-31,Amar'e Stoudemire,knee injury,2014,208.28,111.13004,32.0
Knicks,2014-11-14,Amar'e Stoudemire,rest,2014,208.28,111.13004,32.0
Knicks,2014-12-20,Amar'e Stoudemire,rest,2014,208.28,111.13004,32.0
Knicks,2014-12-27,Amar'e Stoudemire,sore right knee,2014,208.28,111.13004,32.0
Knicks,2015-01-07,Amar'e Stoudemire,placed on IL with sore right knee,2015,208.28,111.13004,33.0
Knicks,2015-01-28,Amar'e Stoudemire,placed on IL with wrist injury,2015,208.28,111.13004,33.0
Mavericks,2015-02-19,Amar'e Stoudemire,placed on IL with sprained left ankle,2015,208.28,111.13004,33.0
Mavericks,2015-04-12,Amar'e Stoudemire,rest,2015,208.28,111.13004,33.0
Heat,2015-10-28,Amar'e Stoudemire,placed on IL with rehab of knee,2015,208.28,111.13004,33.0
Heat,2015-11-03,Amar'e Stoudemire,placed on IL with rehab of knee,2015,208.28,111.13004,33.0
Clippers,2019-10-21,Amir Coffey,sprained right ankle,2019,200.66,95.25431999999999,23.0
Raptors,2011-02-11,Amir Johnson,placed on IL with sprained right ankle,2011,205.74,95.25431999999999,25.0
Raptors,2011-03-11,Amir Johnson,placed on IL with sprained left ankle,2011,205.74,95.25431999999999,25.0
Raptors,2011-03-25,Amir Johnson,sore left ankle,2011,205.74,95.25431999999999,25.0
Raptors,2011-04-06,Amir Johnson,sore left ankle,2011,205.74,95.25431999999999,25.0
Raptors,2011-06-03,Amir Johnson,surgery on left ankle,2011,205.74,95.25431999999999,25.0
Raptors,2012-03-05,Amir Johnson,right knee injury,2012,205.74,95.25431999999999,26.0
Raptors,2014-02-10,Amir Johnson,placed on IL with ankle injury,2014,205.74,108.86208,28.0
Raptors,2014-04-04,Amir Johnson,placed on IL with right ankle injury,2014,205.74,108.86208,28.0
Raptors,2014-11-02,Amir Johnson,placed on IL with sprained left ankle,2014,205.74,108.86208,28.0
Raptors,2015-04-04,Amir Johnson,sprained right ankle,2015,205.74,108.86208,29.0
Celtics,2015-12-21,Amir Johnson,placed on IL with foot injury,2015,205.74,108.86208,29.0
Celtics,2017-01-11,Amir Johnson,sprained left ankle,2017,205.74,108.86208,31.0
Celtics,2017-05-23,Amir Johnson,sprained right shoulder,2017,205.74,108.86208,31.0
76ers,2018-01-11,Amir Johnson,gasroenteritis,2018,205.74,108.86208,32.0
Cavaliers,2010-11-13,Anderson Varejao,placed on IL with bruised ribs,2010,210.82,117.93392,28.0
Cavaliers,2010-12-31,Anderson Varejao,fractured cheekbone,2010,210.82,117.93392,28.0
Cavaliers,2011-01-07,Anderson Varejao,torn tendon in right ankle,2011,210.82,117.93392,29.0
Cavaliers,2011-02-12,Anderson Varejao,surgery on right ankle to repair torn tendon,2011,210.82,117.93392,29.0
Cavaliers,2011-02-27,Anderson Varejao,placed on IL with right ankle injury,2011,210.82,117.93392,29.0
Cavaliers,2012-02-11,Anderson Varejao,placed on IL with fractured bone in right wrist,2012,210.82,117.93392,30.0
Cavaliers,2012-03-07,Anderson Varejao,fractured bone in right wrist,2012,210.82,117.93392,30.0
Cavaliers,2012-11-07,Anderson Varejao,placed on IL with bruised right knee,2012,210.82,117.93392,30.0
Cavaliers,2012-12-19,Anderson Varejao,placed on IL with bruised right knee,2012,210.82,117.93392,30.0
Cavaliers,2013-01-10,Anderson Varejao,surgery on right knee to repair torn muscle,2013,210.82,121.109064,31.0
Cavaliers,2013-01-21,Anderson Varejao,blood clot in right lung,2013,210.82,121.109064,31.0
Cavaliers,2014-01-28,Anderson Varejao,placed on IL with bruised left knee,2014,210.82,121.109064,32.0
Cavaliers,2014-02-11,Anderson Varejao,sore back,2014,210.82,121.109064,32.0
Cavaliers,2014-02-18,Anderson Varejao,sore back,2014,210.82,121.109064,32.0
Cavaliers,2014-04-02,Anderson Varejao,sprained AC joint in right shoulder,2014,210.82,121.109064,32.0
Cavaliers,2014-04-16,Anderson Varejao,,2014,210.82,121.109064,32.0
Cavaliers,2014-11-29,Anderson Varejao,placed on IL with bruised ribs,2014,210.82,121.109064,32.0
Cavaliers,2014-12-25,Anderson Varejao,placed on IL with left Achilles injury,2014,210.82,121.109064,32.0
Cavaliers,2015-11-08,Anderson Varejao,,2015,210.82,123.83061599999999,33.0
Wizards,2010-12-07,Andray Blatche,placed on IL with bruised hip,2010,210.82,117.93392,24.0
Wizards,2010-12-14,Andray Blatche,placed on IL with sore left knee,2010,210.82,117.93392,24.0
Wizards,2011-01-13,Andray Blatche,sprained right shoulder,2011,210.82,117.93392,25.0
Wizards,2011-02-25,Andray Blatche,placed on IL with hip injury,2011,210.82,117.93392,25.0
Wizards,2011-03-12,Andray Blatche,placed on IL with sprained right shoulder,2011,210.82,117.93392,25.0
Wizards,2011-03-18,Andray Blatche,strained right shoulder,2011,210.82,117.93392,25.0
Wizards,2012-01-11,Andray Blatche,sore right shoulder,2012,210.82,117.93392,26.0
Wizards,2012-01-30,Andray Blatche,placed on IL with strained left calf,2012,210.82,117.93392,26.0
Wizards,2012-02-08,Andray Blatche,strained left calf,2012,210.82,117.93392,26.0
Wizards,2012-02-20,Andray Blatche,strained left calf,2012,210.82,117.93392,26.0
Wizards,2012-02-28,Andray Blatche,strained left calf,2012,210.82,117.93392,26.0
Wizards,2012-03-21,Andray Blatche,conditioning,2012,210.82,117.93392,26.0
Pistons,2013-02-08,Andre Drummond,placed on IL with stress fracture in back,2013,208.28,122.46984,20.0
Pistons,2014-03-19,Andre Drummond,strained neck,2014,210.82,126.552168,21.0
Pistons,2016-04-13,Andre Drummond,rest,2016,210.82,126.552168,23.0
Pistons,2016-11-14,Andre Drummond,placed on IL with sore/sprained right ankle,2016,210.82,126.552168,23.0
Pistons,2018-01-03,Andre Drummond,bruised right rib,2018,210.82,126.552168,25.0
Pistons,2018-04-09,Andre Drummond,placed on IL with sore Achilles,2018,210.82,126.552168,25.0
Pistons,2019-01-19,Andre Drummond,placed on IL with concussion,2019,208.28,126.552168,26.0
Pistons,2019-12-14,Andre Drummond,left eye injury,2019,208.28,126.552168,26.0
Pistons,2020-01-22,Andre Drummond,mouth injury,2020,208.28,126.552168,27.0
Cavaliers,2020-02-26,Andre Drummond,placed on IL with strained left calf,2020,208.28,126.552168,27.0
76ers,2010-11-07,Andre Iguodala,placed on IL with right Achilles tendon injury,2010,198.12,93.893544,27.0
76ers,2010-11-16,Andre Iguodala,placed on IL with right Achilles tendon injury,2010,198.12,93.893544,27.0
76ers,2010-12-27,Andre Iguodala,right Achilles tendinitis,2010,198.12,93.893544,27.0
76ers,2011-03-19,Andre Iguodala,placed on IL with right knee tendinitis,2011,198.12,93.893544,28.0
76ers,2011-04-11,Andre Iguodala,placed on IL with right knee tendinitis,2011,198.12,93.893544,28.0
76ers,2012-03-25,Andre Iguodala,patella tendinitis in left knee,2012,198.12,93.893544,29.0
76ers,2012-04-25,Andre Iguodala,rest,2012,198.12,93.893544,29.0
Nuggets,2013-02-12,Andre Iguodala,right cervical strain,2013,198.12,93.893544,30.0
Warriors,2013-11-23,Andre Iguodala,placed on IL with strained left hamstring,2013,198.12,93.893544,30.0
Warriors,2014-03-18,Andre Iguodala,placed on IL with right knee injury,2014,198.12,97.52228,31.0
Warriors,2014-04-02,Andre Iguodala,right knee injury,2014,198.12,97.52228,31.0
Warriors,2014-04-11,Andre Iguodala,right knee tendinitis,2014,198.12,97.52228,31.0
Warriors,2015-01-16,Andre Iguodala,rest,2015,198.12,97.52228,32.0
Warriors,2015-01-23,Andre Iguodala,rest,2015,198.12,97.52228,32.0
Warriors,2015-02-27,Andre Iguodala,rest,2015,198.12,97.52228,32.0
Warriors,2015-03-13,Andre Iguodala,rest,2015,198.12,97.52228,32.0
Warriors,2016-01-30,Andre Iguodala,rest,2016,198.12,97.52228,33.0
Warriors,2016-03-01,Andre Iguodala,placed on IL with tighness in hamstring,2016,198.12,97.52228,33.0
Warriors,2017-01-23,Andre Iguodala,placed on IL for rest,2017,198.12,97.52228,34.0
Warriors,2017-03-21,Andre Iguodala,placed on IL with strained left hip,2017,198.12,97.52228,34.0
Warriors,2017-04-05,Andre Iguodala,rest,2017,198.12,97.52228,34.0
Warriors,2017-05-14,Andre Iguodala,sore left knee,2017,198.12,97.52228,34.0
Warriors,2017-10-17,Andre Iguodala,placed on IL with strained back,2017,198.12,97.52228,34.0
Warriors,2017-11-11,Andre Iguodala,placed on IL for rest,2017,198.12,97.52228,34.0
Warriors,2017-12-01,Andre Iguodala,placed on IL with sore left knee,2017,198.12,97.52228,34.0
Warriors,2018-01-03,Andre Iguodala,placed on IL with stiffness in lower back,2018,198.12,97.52228,35.0
Warriors,2018-01-17,Andre Iguodala,placed on IL with bruised left calf,2018,198.12,97.52228,35.0
